Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,5,5,4,easy
0,0,0,3,10,5,5,easy
0,0,0,3,15,5,6,easy
0,0,0,3,20,5,7,easy
0,0,0,3,25,5,8,easy
0,0,0,3,30,5,9,easy
0,0,0,3,35,5,10,easy
0,0,0,3,40,5,11,easy
0,0,0,3,45,5,12,easy
0,0,0,3,50,5,13,easy
0,0,0,3,55,5,14,easy
0,0,0,3,60,5,15,easy
0,0,0,3,65,5,16,easy
0,0,0,3,70,5,17,easy
0,0,0,3,75,5,18,easy
0,0,0,3,80,5,19,easy
0,0,0,3,85,5,20,easy
0,0,0,3,90,5,21,easy
0,0,0,3,95,5,22,easy
0,0,0,3,100,5,23,expert
0,0,0,3,105,5,24,expert
0,0,0,3,110,5,25,expert
0,0,0,3,115,5,26,expert
0,0,0,3,120,5,27,expert
0,0,0,3,125,5,28,expert
0,0,0,3,130,5,29,expert
0,0,0,3,135,5,30,expert
