Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,6,5,3,easy
0,0,0,3,11,5,4,easy
0,0,0,3,16,5,5,easy
0,0,0,3,21,5,6,easy
0,0,0,3,26,5,7,easy
0,0,0,3,32,5,8,easy
0,0,0,3,37,5,9,easy
0,0,0,3,42,5,10,easy
0,0,0,3,47,5,11,easy
0,0,0,3,52,5,12,easy
0,0,0,3,57,5,13,easy
0,0,0,3,62,5,14,easy
0,0,0,3,67,5,15,easy
0,0,0,3,72,5,16,easy
0,0,0,3,77,5,17,easy
0,0,0,3,82,5,18,easy
0,0,0,3,87,5,19,easy
0,0,0,3,92,5,20,easy
0,0,0,3,97,5,21,easy
0,0,0,3,102,5,22,expert
0,0,0,3,107,5,23,expert
0,0,0,3,112,5,24,expert
0,0,0,3,117,5,25,expert
0,0,0,3,122,5,26,expert
0,0,0,3,127,5,27,expert
0,0,0,3,132,5,28,expert
0,0,0,3,137,5,29,expert
0,0,0,3,142,5,30,expert
0,0,0,3,147,5,31,expert
0,0,0,3,152,5,32,expert
0,0,0,3,157,5,34,expert
0,0,0,3,162,5,35,expert
0,0,0,3,167,5,36,expert
0,0,0,3,172,5,37,expert
0,0,0,3,177,5,38,expert
0,0,0,3,182,5,39,expert
0,0,0,3,187,5,40,expert
0,0,0,3,192,5,41,expert
0,0,0,3,197,5,42,expert
0,0,0,3,202,5,43,expert
0,0,0,3,207,5,44,expert
0,0,0,3,212,5,45,expert
0,0,0,3,217,5,46,expert
0,0,0,3,222,5,47,expert
0,0,0,3,227,5,48,expert
0,0,0,3,232,5,49,expert
0,0,0,3,237,5,50,expert
0,0,0,2,242,5,51,expert
0,0,0,2,248,5,52,expert
0,0,0,2,253,5,53,expert
0,0,0,2,258,5,54,expert
0,0,0,2,263,5,55,expert
0,0,0,2,268,5,56,expert
0,0,0,2,273,5,57,expert
0,0,0,2,278,5,58,expert
0,0,0,2,283,5,59,expert
0,0,0,2,288,5,60,expert
0,0,0,2,293,5,61,expert
0,0,0,2,298,5,62,expert
0,0,0,2,303,5,63,expert
0,0,0,2,308,5,64,expert
0,0,0,2,313,5,65,expert
0,0,0,2,318,5,66,expert
0,0,0,2,323,5,67,expert
0,0,0,2,328,5,68,expert
0,0,0,2,333,5,69,expert
0,0,0,2,338,5,70,expert
0,0,0,2,343,5,71,expert
0,0,0,2,348,5,72,expert
0,0,0,2,353,5,73,expert
0,0,0,2,358,5,74,expert
0,0,0,2,363,5,75,expert
0,0,0,2,368,5,76,expert
0,0,0,2,373,5,77,expert
0,0,0,2,379,5,78,expert
0,0,0,2,384,5,79,expert
0,0,0,1,389,5,80,expert
0,0,0,1,394,5,81,expert
0,0,0,1,399,5,82,expert
0,0,0,1,404,5,83,expert
0,0,0,1,409,5,84,expert
0,0,0,1,414,5,85,expert
0,0,0,1,419,5,86,expert
0,0,0,1,424,5,87,expert
0,0,0,1,429,5,88,expert
0,0,0,1,434,5,89,expert
0,0,0,1,439,5,90,expert
0,0,0,1,444,5,91,expert
0,0,0,1,449,5,92,expert
0,0,0,1,454,5,93,expert
0,0,0,1,459,5,94,expert
0,0,0,1,464,5,95,expert
0,0,0,2,469,5,96,expert
0,0,0,2,474,5,97,expert
0,0,0,2,479,5,98,expert
0,0,0,2,484,5,99,expert
0,0,0,2,489,5,100,expert
0,0,0,2,494,5,101,expert
0,0,0,2,500,5,102,expert
0,0,0,2,505,5,103,expert
0,0,0,2,510,5,104,expert
0,0,0,2,515,5,105,expert
0,0,0,2,520,5,106,expert
0,0,0,2,525,5,107,expert
0,0,0,2,530,5,108,expert
0,0,0,2,535,5,109,expert
0,0,0,2,540,5,110,expert
0,0,0,2,545,5,111,expert
0,0,0,2,550,5,112,expert
0,0,0,2,555,5,113,expert
0,0,0,2,560,5,114,expert
0,0,0,2,565,5,115,expert
0,0,0,2,570,5,116,expert
0,0,0,2,575,5,117,expert
0,0,0,2,580,5,118,expert
0,0,0,2,585,5,119,expert
0,0,0,2,591,5,120,expert
0,0,0,2,596,5,121,expert
0,0,0,2,601,5,122,expert
0,0,0,2,606,5,123,expert
0,0,0,2,611,5,124,expert
0,0,0,2,616,5,125,expert
0,0,0,2,621,5,126,expert
0,0,0,2,626,5,127,expert
0,0,0,2,631,5,128,expert
0,0,0,2,636,5,129,expert
0,0,0,2,641,5,130,expert
0,0,0,2,646,5,131,expert
