Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,5,5,8,easy
0,0,0,3,10,5,9,easy
0,0,0,3,15,5,10,easy
0,0,0,3,20,5,11,easy
0,0,0,3,25,5,12,easy
0,0,0,3,30,5,13,easy
0,0,0,3,35,5,14,easy
0,0,0,3,40,5,15,easy
0,0,0,3,45,5,16,easy
0,0,0,3,50,5,17,easy
0,0,0,3,55,5,18,easy
0,0,0,3,60,5,19,easy
0,0,0,3,65,5,20,easy
0,0,0,3,70,5,21,easy
0,0,0,3,75,5,22,easy
0,0,0,3,80,5,23,easy
0,0,0,3,85,5,24,easy
0,0,0,3,90,5,25,easy
0,0,0,3,95,5,26,easy
0,0,0,3,100,5,27,expert
0,0,0,3,105,5,28,expert
0,0,0,3,110,5,29,expert
0,0,0,3,115,5,30,expert
0,0,0,3,120,5,31,expert
0,0,0,3,125,5,32,expert
0,0,0,3,130,5,33,expert
0,0,0,3,135,5,34,expert
0,0,0,3,140,5,35,expert
0,0,0,3,145,5,36,expert
0,0,0,3,150,5,37,expert
0,0,0,3,155,5,38,expert
0,0,0,3,161,5,39,expert
0,0,0,3,166,5,40,expert
0,0,0,3,171,5,41,expert
0,0,0,3,176,5,42,expert
0,0,0,3,181,5,43,expert
0,0,0,3,186,5,44,expert
0,0,0,3,191,5,45,expert
0,0,0,3,196,5,46,expert
0,0,0,3,201,5,47,expert
0,0,0,3,206,5,48,expert
0,0,0,3,211,5,49,expert
0,0,0,3,216,5,50,expert
0,0,0,1,221,5,51,expert
0,0,0,1,226,5,52,expert
0,0,0,1,231,5,53,expert
0,0,0,1,236,5,54,expert
0,0,0,1,241,5,55,expert
0,0,0,1,246,5,56,expert
0,0,0,1,251,5,57,expert
0,0,0,1,256,5,58,expert
0,0,0,1,261,5,59,expert
0,0,0,1,266,5,60,expert
0,0,0,1,271,5,61,expert
0,0,0,1,276,5,62,expert
0,0,0,1,281,5,63,expert
0,0,0,1,286,5,64,expert
0,0,0,0,290,4,601168,65,expert
0,0,0,0,290,4,999893,66,expert
0,0,0,0,290,4,999998,67,expert
0,0,0,0,290,4,999998,68,expert
0,0,0,0,290,4,999998,69,expert
0,0,0,0,290,4,999998,70,expert
