Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,8,5,4,easy
0,0,0,3,13,5,5,easy
0,0,0,3,18,5,6,easy
0,0,0,3,23,5,7,easy
0,0,0,3,28,5,8,easy
0,0,0,3,33,5,9,easy
0,0,0,3,38,5,10,easy
0,0,0,3,43,5,11,easy
0,0,0,3,48,5,12,easy
0,0,0,3,53,5,13,easy
0,0,0,3,58,5,14,easy
0,0,0,3,63,5,15,easy
0,0,0,3,68,5,16,easy
0,0,0,3,73,5,17,easy
0,0,0,3,78,5,18,easy
0,0,0,3,83,5,19,easy
0,0,0,3,88,5,20,easy
0,0,0,3,93,5,21,easy
0,0,0,3,99,5,22,easy
0,0,0,3,104,5,23,expert
0,0,0,3,109,5,24,expert
0,0,0,3,114,5,25,expert
0,0,0,3,119,5,26,expert
0,0,0,3,124,5,27,expert
0,0,0,3,129,5,28,expert
0,0,0,3,134,5,29,expert
0,0,0,3,139,5,30,expert
0,0,0,3,145,5,31,expert
0,0,0,2,150,5,32,expert
0,0,0,2,155,5,33,expert
0,0,0,2,160,5,34,expert
0,0,0,2,165,5,35,expert
0,0,0,2,170,5,36,expert
0,0,0,2,175,5,37,expert
0,0,0,2,180,5,38,expert
0,0,0,2,185,5,39,expert
0,0,0,2,190,5,40,expert
0,0,0,2,195,5,41,expert
0,0,0,2,200,5,42,expert
0,0,0,2,205,5,43,expert
0,0,0,2,210,5,44,expert
0,0,0,2,215,5,45,expert
0,0,0,2,220,5,46,expert
0,0,0,2,225,5,47,expert
0,0,0,2,230,5,48,expert
0,0,0,2,235,5,49,expert
0,0,0,2,240,5,50,expert
0,0,0,2,245,5,51,expert
0,0,0,1,250,5,52,expert
0,0,0,1,255,5,53,expert
0,0,0,1,260,5,54,expert
0,0,0,1,265,5,55,expert
0,0,0,1,270,5,56,expert
0,0,0,1,275,5,57,expert
0,0,0,1,280,5,58,expert
0,0,0,1,285,5,59,expert
0,0,0,1,290,5,60,expert
0,0,0,1,296,5,61,expert
0,0,0,1,301,5,62,expert
0,0,0,1,306,5,63,expert
0,0,0,1,311,5,64,expert
0,0,0,1,316,5,65,expert
0,0,0,1,321,5,66,expert
0,0,0,1,326,5,67,expert
0,0,0,1,331,5,68,expert
0,0,0,1,336,5,69,expert
0,0,0,1,341,5,70,expert
0,0,0,1,346,5,71,expert
0,0,0,1,351,5,72,expert
0,0,0,1,356,5,73,expert
0,0,0,1,361,5,74,expert
0,0,0,1,366,5,75,expert
0,0,0,1,372,5,76,expert
0,0,0,1,377,5,77,expert
0,0,0,1,382,5,78,expert
0,0,0,1,387,5,79,expert
0,0,0,0,388,4,968187,80,expert
0,0,0,0,388,4,999954,81,expert
0,0,0,0,388,4,999998,82,expert
0,0,0,0,388,4,999998,83,expert
0,0,0,0,388,4,999998,85,expert
0,0,0,0,388,4,999998,85,expert
