Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,8,5,3,easy
0,0,0,3,13,5,4,easy
0,0,0,3,18,5,5,easy
0,0,0,3,23,5,6,easy
0,0,0,3,28,5,7,easy
0,0,0,3,33,5,8,easy
0,0,0,3,38,5,9,easy
0,0,0,3,43,5,10,easy
0,0,0,3,48,5,11,easy
0,0,0,3,53,5,12,easy
0,0,0,3,58,5,13,easy
0,0,0,3,63,5,14,easy
0,0,0,3,68,5,15,easy
0,0,0,3,73,5,16,easy
0,0,0,3,78,5,17,easy
0,0,0,3,83,5,18,easy
0,0,0,3,88,5,19,easy
0,0,0,3,93,5,20,easy
0,0,0,3,98,5,21,easy
0,0,0,3,103,5,22,expert
0,0,0,3,108,5,23,expert
0,0,0,3,113,5,24,expert
0,0,0,3,118,5,25,expert
0,0,0,3,123,5,26,expert
0,0,0,3,128,5,27,expert
0,0,0,3,133,5,28,expert
0,0,0,3,138,5,29,expert
0,0,0,3,143,5,30,expert
0,0,0,3,148,5,31,expert
0,0,0,3,153,5,32,expert
0,0,0,3,158,5,33,expert
0,0,0,2,163,5,34,expert
0,0,0,2,168,5,35,expert
0,0,0,2,173,5,36,expert
0,0,0,2,178,5,37,expert
0,0,0,2,183,5,38,expert
0,0,0,2,188,5,39,expert
0,0,0,1,193,5,40,expert
