Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,6,5,4,easy
0,0,0,3,12,5,5,easy
0,0,0,3,17,5,6,easy
0,0,0,3,22,5,7,easy
0,0,0,3,27,5,8,easy
0,0,0,3,32,5,9,easy
0,0,0,3,37,5,10,easy
0,0,0,3,42,5,11,easy
0,0,0,3,47,5,12,easy
0,0,0,3,52,5,13,easy
0,0,0,3,57,5,14,easy
0,0,0,3,62,5,15,easy
0,0,0,3,67,5,16,easy
0,0,0,3,72,5,17,easy
0,0,0,3,77,5,18,easy
0,0,0,3,82,5,19,easy
0,0,0,3,87,5,21,easy
0,0,0,3,92,5,22,easy
0,0,0,3,97,5,23,easy
0,0,0,3,102,5,24,expert
0,0,0,3,107,5,25,expert
0,0,0,3,112,5,26,expert
0,0,0,3,117,5,27,expert
0,0,0,3,122,5,28,expert
0,0,0,3,127,5,29,expert
0,0,0,3,132,5,30,expert
0,0,0,3,137,5,31,expert
0,0,0,3,142,5,32,expert
0,0,0,3,147,5,33,expert
0,0,0,3,152,5,34,expert
0,0,0,3,157,5,35,expert
0,0,0,3,162,5,36,expert
0,0,0,3,167,5,37,expert
0,0,0,3,172,5,38,expert
0,0,0,3,177,5,39,expert
0,0,0,3,182,5,40,expert
0,0,0,3,187,5,41,expert
0,0,0,3,193,5,42,expert
0,0,0,3,198,5,43,expert
0,0,0,3,203,5,44,expert
0,0,0,2,208,5,45,expert
0,0,0,2,213,5,46,expert
0,0,0,2,218,5,47,expert
0,0,0,1,223,5,48,expert
0,0,0,1,228,5,49,expert
0,0,0,1,233,5,50,expert
0,0,0,1,238,5,51,expert
0,0,0,1,243,5,52,expert
0,0,0,1,248,5,53,expert
0,0,0,1,253,5,54,expert
0,0,0,1,259,5,55,expert
0,0,0,1,264,5,56,expert
0,0,0,1,269,5,57,expert
0,0,0,1,274,5,58,expert
