Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,7,5,3,easy
0,0,0,3,12,5,4,easy
0,0,0,3,17,5,5,easy
0,0,0,3,22,5,6,easy
0,0,0,3,27,5,7,easy
0,0,0,3,32,5,8,easy
0,0,0,3,37,5,9,easy
0,0,0,3,42,5,10,easy
0,0,0,3,47,5,11,easy
0,0,0,3,52,5,12,easy
0,0,0,3,57,5,13,easy
0,0,0,3,62,5,14,easy
0,0,0,3,67,5,15,easy
0,0,0,3,72,5,16,easy
0,0,0,3,77,5,17,easy
0,0,0,3,82,5,18,easy
0,0,0,3,87,5,19,easy
0,0,0,3,92,5,20,easy
0,0,0,3,97,5,21,easy
0,0,0,3,102,5,22,expert
0,0,0,3,107,5,23,expert
0,0,0,3,112,5,24,expert
0,0,0,3,117,5,25,expert
0,0,0,3,122,5,26,expert
0,0,0,3,127,5,27,expert
0,0,0,3,132,5,28,expert
0,0,0,3,137,5,29,expert
0,0,0,3,142,5,30,expert
0,0,0,3,147,5,31,expert
